GEOID20,route
060372060201021,745  
060374811011007,487  
060371912011006,2  
060371927001004,10  
060371199003010,169  
060371342012009,169  
060373021043001,201  
060374625001017,268  
060371896001009,222  
060374308032009,487  
060371095003001,230  
060371095001011,230  
060374603022007,267  
060371034011003,90  
060374822021002,70  
060371289103005,234  
060373115002008,501  
060373115001015,183  
060374006023024,804 
060371919021012,212  
060374311002016,267  
060374619011006,687  
060377006001006,2  
060374812031007,266  
060375308012008,71  
060373010002008,201  
060378003353013,161  
060371439011021,218  
060371991102014,78  
060371352023022,164  
060371236013009,167  
060374609005000,267  
060372016022010,76  
060374812013004,78  
060374315013006,78  
060377007001003,2  
060374046001081,78  
060377008021007,16  
060372651001004,2  
060374612002008,267  
060371132383005,152  
060374616003001,260  
060371011101010,90  
060371370002003,169  
060371370002026,161  
060374802013000,78  
060379304003067,804 
060373203002011,234  
060371044011002,224  
060371953003001,175  
060371944021009,105  
060374819014012,258  
060372080021005,10  
060374332002010,176  
060372060201000,76  
060372060101004,45  
060371901012007,217  
060371958021004,201  
060372148002001,105  
060376003031011,120  
060376003031008,206  
060375005001029,266  
060376001003013,204  
060371112012000,239  
060379304003122,260  
060371331011012,901  
060373107051002,164  
060373106021001,92  
060373020031008,180  
060371892021007,180  
060378001011024,169  
060371894002007,207  
060374823013002,487  
060372161001010,28  
060371897021006,237  
060371132111017,243  
060371061131005,230  
060371064071000,234  
060371344222019,165  
060371221201000,152  
060373115003017,183  
060374635003013,267  
060372643032000,720  
060372167002000,105  
060372679012000,728  
060371942001011,218  
060371435004011,150  
060375533002001,125  
060375533003005,125  
060379304002113,236  
060371132112013,166  
060371951002003,201  
060372911102013,45  
060374307014011,267  
060373009013004,90  
060373004006009,90  
060373107051024,155  
060371414003008,150  
060373016022007,96  
060374309021013,267  
060373021021003,685  
060378003352013,161  
060371883001003,180  
060371852021001,83  
060378003354001,161  
060372673001007,4  
060373016023008,96  
060371372023005,161  
060379800101024,704  
060372060201011,704  
060378002021020,161  
060372623011007,788  
060375027002001,62  
060371435001001,230  
060371064032008,236  
060371066032013,236  
060374609004003,267  
060371341031005,152  
060374638003008,256  
060371941023000,218  
060374634002013,267  
060371898011002,2  
060371943001008,2  
060375007006005,265  
060371171022001,167  
060376003041011,204  
060376021033020,211  
060375042001022,62  
060375512041007,266  
060373201012000,234  
060371134242004,243  
060374311001003,267  
060373012052013,92  
060371032021013,90  
060371114011010,158  
060379800221015,236  
060371343032007,150  
060371351132005,150  
060371197001006,169  
060371310231007,150  
060371272203003,163  
060371431011003,155  
060373114002004,183  
060371838201003,81  
060371861002009,685  
060374309021014,267  
060372947012026,232  
060376002022008,206  
060372412023001,81  
060376010012020,40  
060372145042002,16  
060372657021000,20  
060371852021011,28  
060375008002014,266  
060371810005008,81  
060372677002029,734  
060374811021003,176  
060374322011013,176  
060371014003004,90  
060371092001003,239  
060371133231005,245  
060371411022002,150  
060371901011003,217  
060375519004011,111  
060375541061000,128  
060371231031004,165  
060372340022008,209  
060372151011011,20  
060374307231003,267  
060375305001000,258  
060375305001001,258  
060375008003009,266  
060375702042010,265  
060372317103001,204  
060372376002007,111  
060375545223015,62  
060372976012004,246  
060374803043000,176  
060375433051075,205  
060376209041010,126  
060375762005011,232  
060375760012027,801 
060375717011002,202  
060378003371003,161  
060373109003004,164  
060379800241031,236  
060375344061003,111  
060375418011024,260  
060375521003001,460  
060375307001022,70  
060372945101011,246  
060377016013008,20  
060372060532002,106  
060372626043005,534  
060375702023012,130  
060373104003013,92  
060371200301008,233  
060375342023008,258  
060375339022000,111  
060375421041005,260  
060375521005007,62  
060375400003015,260  
060375538022006,128  
060375700012003,130  
060375707012010,266  
060374816062006,76  
060374614003000,180  
060375510022010,266  
060375436072002,205  
060376039012008,125  
060371066432002,236  
060372247021021,200  
060375300074003,68  
060375762004011,232  
060376700032008,232  
060376703241005,344  
060372671021000,704  
060372412022003,81  
060374623023008,180  
060375025002027,62  
060376506051003,344  
060371241031004,224  
060379800121003,117  
060372312201005,102  
060372324012005,207  
060375541063001,125  
060372036012004,251  
060372074001024,30  
060372392013004,45  
060375507004006,111  
060375352001005,53  
060376513042003,232  
060375356041000,612  
060372431003001,612  
060372409011002,51  
060375400003001,260  
060375035022007,120  
060375734011025,60  
060375318003006,18  
060379800161117,60  
060375515021003,265  
060375537011005,125  
060375545211006,577  
060374312004019,78  
060372187022000,14  
060372322003000,206  
060375008003014,266  
060375358041005,117  
060375515011003,265  
060372383102006,81  
060375354002001,115  
060372412024004,120  
060376200011010,625  
060375362022016,265  
060375719003008,60  
060376206025004,130  
060375544061000,130  
060372948201001,232  
060379800331022,232  
060372933061015,205  
060372933061008,205  
060375436031017,205  
060376026022001,209  
060371374021008,169  
060372738001008,33  
060375339011002,110  
060376008013001,710  
060375355021000,611  
060375342032012,258  
060375514012004,115  
060376028022005,209  
060375503012006,125  
060375503013003,120  
060375409023012,45  
060375701001008,266  
060372944101009,205  
060375754022011,232  
060372971201004,910  
060371872001001,96  
060375718001030,801 
060375433051029,202  
060377012012015,20  
060372736002001,33  
060372411203008,45  
060372382002006,115  
060372383201006,115  
060375522001002,62  
060375722024023,60  
060371863022000,28  
060371944022002,10  
060372035002010,68  
060378005041035,534  
060374825222013,176  
060372286002004,51  
060375356041001,612  
060375361021016,258  
060375027004055,120  
060372409022010,51  
060375406001003,202  
060379800341008,460  
060379902000013,130  
060375700031006,266  
060375704021009,130  
060372975013002,246  
060375432033007,202  
060376208013005,130  
060375545161010,128  
060377023003010,806 
060371192012004,158  
060371434012010,167  
060376505013014,344  
060375433041004,205  
060375776051002,577  
060378003384001,161  
060375763023007,60  
060372949002014,232  
060372948201008,232  
060372969023007,205  
060372060521029,30  
060372944102004,205  
060371131021009,243  
060375542011005,128  
060376203054003,126  
060375037011004,120  
060375401014012,120  
060375520022005,460  
060375519001008,803 
060375715023009,60  
060375433051006,202  
060376205222000,130  
060372973002003,550  
060375760013010,801 
060379800331018,801 
060379800311023,205  
060375426012003,125  
060375413001016,205  
060375550021000,62  
060375550022007,62  
060375545111006,128  
060376211021016,232  
060375434002000,205  
060372965001001,246  
060379800131029,803 
060376707011018,205  
060374307211002,78  
060374084023027,577  
060372326011000,206  
060375325002015,108  
060375323023025,260  
060372721003005,733  
060377032004009,607  
060375510012006,115  
060375032021003,120  
060372412013003,81  
060372395011006,53  
060372766013005,115  
060376203057033,126  
060376211043021,130  
060375717041002,60  
060375734011021,60  
060375435012003,910  
060375704032018,60  
060375708005000,266  
060375522003022,460  
060375522002002,460  
060375719002001,60  
060376504011009,344  
060375700011001,130  
060376506051006,344  
060372409022001,51  
060375433213002,130  
060375412004002,53  
060371374011003,161  
060377006003006,2  
060377023005000,806 
060372713002006,734  
060372260021040,51  
060372735023012,733  
060377032006026,108  
060375034023003,120  
060379800281067,117  
060372423003006,55  
060375510022005,111  
060372382001004,206  
060375338061023,111  
060375026032006,62  
060374602004004,180  
060379800241026,154  
060371831031019,176  
060377009023005,28  
060375323033012,18  
060374332004013,70  
060372343011003,102  
060378005041011,534  
060377007003040,20  
060371014002016,90  
060376203053000,126  
060377013023011,720  
060379800361055,266  
060375004044004,266  
060372676002002,806 
060372216021002,35  
060372351001004,108  
060377028022001,33  
060377028032001,733  
060375508021015,115  
060372379002010,207  
060375433211016,53  
060372678003008,734  
060372199023000,14  
060375305003007,804 
060371194001007,166  
060371133032011,167  
060371838202002,256  
060372382001016,204  
060375732022001,60  
060375776021009,577  
060375039012025,460  
060375421042016,260  
060373007022002,183  
060376703242006,344  
060376503001010,40  
060372971202001,910  
060376704162002,344  
060376099002006,550  
060376514022032,232  
060375754021001,60  
060372422021003,254  
060375340013008,110  
060375351013010,53  
060376007042000,209  
060376007042005,210  
060375524001011,460  
060375713001017,266  
